sender_account,receiver_account,transaction_amount,timestamp,is_fraud
N_000016,M_EXT_000542,1365.68,2023-01-02 00:00:00,1
N_000801,N_000742,1677.03,2023-01-02 00:00:00,0
N_000004,M_EXT_000323,1328.4,2023-01-02 00:00:00,1
N_000045,M_EXT_000278,357.26,2023-01-02 00:00:00,1
N_000007,M_EXT_000533,459.98,2023-01-02 00:00:00,1
N_000047,M_EXT_000522,658.42,2023-01-02 00:00:00,1
N_000011,M_REC_000445,139.75,2023-01-02 00:00:00,1
N_000033,M_EXT_000322,165.64,2023-01-02 00:00:00,1
M_DOR_000328,N_001966,452.69,2023-01-02 00:00:00,1
M_DOR_000344,N_001969,221.85,2023-01-02 00:00:00,1
M_DOR_000030,N_001974,1000.0,2023-01-02 01:00:00,1
N_000052,N_000278,249.69,2023-01-02 01:00:00,0
N_000107,N_001225,58.57,2023-01-02 01:00:00,0
N_000002,M_REC_000001,112.14,2023-01-02 01:00:00,1
N_001063,N_000527,273.52,2023-01-02 01:00:00,0
N_000797,N_000109,773.55,2023-01-02 01:00:00,0
M_DOR_000239,N_001962,108.68,2023-01-02 01:00:00,1
N_000006,M_REC_000096,64.4,2023-01-02 01:00:00,1
M_DOR_000122,N_001979,300.41,2023-01-02 01:00:00,1
M_DOR_000573,N_001964,1000.0,2023-01-02 01:00:00,1
N_000776,N_000994,720.21,2023-01-02 01:00:00,0
M_DOR_000488,N_001957,523.32,2023-01-02 01:00:00,1
M_DOR_000003,N_001980,1000.0,2023-01-02 01:00:00,1
N_000013,M_REC_000046,187.65,2023-01-02 01:00:00,1
M_DOR_000490,N_001958,1000.0,2023-01-02 01:00:00,1
N_000011,M_REC_000293,140.88,2023-01-02 01:00:00,1
N_000028,M_REC_000042,137.59,2023-01-02 02:00:00,1
M_DOR_000293,N_001989,55.43,2023-01-02 02:00:00,1
M_DOR_000350,N_001997,112.92,2023-01-02 02:00:00,1
N_000671,N_001470,2515.38,2023-01-02 02:00:00,0
N_000269,N_001800,663.13,2023-01-02 02:00:00,0
N_000378,N_001039,20.56,2023-01-02 02:00:00,0
N_000918,N_001260,422.2,2023-01-02 02:00:00,0
N_000966,N_000273,227.72,2023-01-02 02:00:00,0
M_DOR_000258,N_001963,50.0,2023-01-02 02:00:00,1
N_000023,N_001334,1252.66,2023-01-02 02:00:00,0
N_001205,N_000451,289.39,2023-01-02 02:00:00,0
N_000018,N_000472,176.28,2023-01-02 02:00:00,0
M_DOR_000148,N_001971,1000.0,2023-01-02 02:00:00,1
M_DOR_000436,N_001979,324.03,2023-01-02 02:00:00,1
M_DOR_000539,N_001995,693.99,2023-01-02 02:00:00,1
N_000389,N_000215,360.51,2023-01-02 02:00:00,0
N_001343,N_001408,66.67,2023-01-02 03:00:00,0
M_DOR_000136,N_001977,391.6,2023-01-02 03:00:00,1
N_000873,N_000410,522.83,2023-01-02 03:00:00,0
M_DOR_000101,N_001960,1000.0,2023-01-02 03:00:00,1
N_001415,N_000340,25.73,2023-01-02 03:00:00,0
M_DOR_000390,N_001993,1000.0,2023-01-02 03:00:00,1
N_000035,M_REC_000463,43.36,2023-01-02 03:00:00,1
N_000006,M_REC_000376,118.11,2023-01-02 04:00:00,1
M_DOR_000584,N_001967,845.72,2023-01-02 04:00:00,1
N_000846,N_000306,822.56,2023-01-02 04:00:00,0
M_DOR_000564,N_001991,215.4,2023-01-02 04:00:00,1
N_000004,M_REC_000095,17.14,2023-01-02 04:00:00,1
N_000185,N_001664,1106.55,2023-01-02 04:00:00,0
M_DOR_000525,N_001964,1000.0,2023-01-02 04:00:00,1
M_DOR_000562,N_001993,1000.0,2023-01-02 04:00:00,1
N_000906,N_000876,70.51,2023-01-02 05:00:00,0
N_001096,N_001630,829.36,2023-01-02 05:00:00,0
N_001768,N_000217,175.32,2023-01-02 05:00:00,0
N_000546,N_000664,936.34,2023-01-02 05:00:00,0
M_DOR_000226,N_001973,213.97,2023-01-02 05:00:00,1
N_000031,M_REC_000266,114.09,2023-01-02 05:00:00,1
N_000964,N_001622,5000.0,2023-01-02 05:00:00,0
N_000042,M_REC_000206,52.38,2023-01-02 05:00:00,1
M_DOR_000269,N_001960,95.79,2023-01-02 05:00:00,1
M_DOR_000330,N_001959,1000.0,2023-01-02 05:00:00,1
N_001657,N_001780,143.24,2023-01-02 05:00:00,0
N_000000,M_REC_000419,104.18,2023-01-02 06:00:00,1
N_000017,M_REC_000275,104.1,2023-01-02 06:00:00,1
N_000633,N_000793,681.53,2023-01-02 06:00:00,0
M_DOR_000379,N_001982,487.1,2023-01-02 06:00:00,1
N_001241,N_000428,148.01,2023-01-02 06:00:00,0
N_001516,N_001667,1819.81,2023-01-02 06:00:00,0
N_000043,M_REC_000139,125.37,2023-01-02 07:00:00,1
N_001293,N_001314,204.86,2023-01-02 07:00:00,0
N_000033,M_REC_000361,147.83,2023-01-02 07:00:00,1
N_001985,N_000851,5000.0,2023-01-02 07:00:00,0
M_DOR_000228,N_001966,67.94,2023-01-02 08:00:00,1
N_000039,M_REC_000027,59.05,2023-01-02 08:00:00,1
N_001226,N_000832,622.11,2023-01-02 08:00:00,0
M_DOR_000054,N_001970,1000.0,2023-01-02 08:00:00,1
N_000508,N_001374,22.03,2023-01-02 08:00:00,0
N_000212,N_001178,217.91,2023-01-02 08:00:00,0
N_001955,N_000055,1390.59,2023-01-02 08:00:00,0
N_000211,N_000648,522.75,2023-01-02 08:00:00,0
N_001916,N_000508,5000.0,2023-01-02 08:00:00,0
M_DOR_000289,N_001974,283.28,2023-01-02 08:00:00,1
N_000589,N_000932,963.4,2023-01-02 09:00:00,0
N_000542,N_000552,5000.0,2023-01-02 09:00:00,0
N_001823,N_000618,4211.72,2023-01-02 09:00:00,0
N_000624,N_000791,131.47,2023-01-02 09:00:00,0
M_DOR_000000,N_001964,50.0,2023-01-02 09:00:00,1
N_000963,N_000137,650.89,2023-01-02 09:00:00,0
N_000729,N_001553,499.41,2023-01-02 09:00:00,0
N_000369,N_001507,35.17,2023-01-02 09:00:00,0
M_DOR_000369,N_001987,1000.0,2023-01-02 09:00:00,1
M_DOR_000274,N_001970,486.53,2023-01-02 09:00:00,1
N_000018,M_REC_000589,56.38,2023-01-02 09:00:00,1
M_DOR_000339,N_001974,1000.0,2023-01-02 09:00:00,1
M_DOR_000340,N_001972,110.28,2023-01-02 09:00:00,1
N_000218,N_000187,237.79,2023-01-02 09:00:00,0
M_DOR_000260,N_001972,1000.0,2023-01-02 09:00:00,1
M_DOR_000473,N_001967,1000.0,2023-01-02 09:00:00,1
N_001739,N_001733,2023.02,2023-01-02 09:00:00,0
N_001564,N_000487,448.0,2023-01-02 10:00:00,0
N_000163,N_000307,251.74,2023-01-02 10:00:00,0
N_000774,N_000839,1237.31,2023-01-02 10:00:00,0
M_DOR_000049,N_001993,941.62,2023-01-02 10:00:00,1
M_DOR_000115,N_001953,91.73,2023-01-02 10:00:00,1
N_000015,M_REC_000028,152.78,2023-01-02 10:00:00,1
N_000035,M_REC_000311,170.56,2023-01-02 10:00:00,1
N_000586,N_001343,205.54,2023-01-02 10:00:00,0
N_000851,N_001535,429.88,2023-01-02 10:00:00,0
N_000009,M_REC_000138,80.05,2023-01-02 11:00:00,1
N_001193,N_001006,1190.06,2023-01-02 11:00:00,0
M_DOR_000310,N_001965,76.86,2023-01-02 11:00:00,1
N_000015,M_REC_000530,53.31,2023-01-02 11:00:00,1
M_DOR_000525,N_001970,381.8,2023-01-02 11:00:00,1
N_001120,N_001955,5000.0,2023-01-02 11:00:00,0
N_001907,N_001236,5000.0,2023-01-02 12:00:00,0
N_001561,N_000854,1891.49,2023-01-02 12:00:00,0
N_000432,N_001069,980.35,2023-01-02 12:00:00,0
N_001717,N_000455,5000.0,2023-01-02 12:00:00,0
N_001094,N_000036,2579.03,2023-01-02 12:00:00,0
N_001204,N_000229,2797.73,2023-01-02 12:00:00,0
N_000919,N_000647,198.48,2023-01-02 12:00:00,0
N_000965,N_001028,77.28,2023-01-02 12:00:00,0
N_001175,N_000837,217.57,2023-01-02 12:00:00,0
M_DOR_000396,N_001964,1000.0,2023-01-02 12:00:00,1
M_DOR_000416,N_001974,50.0,2023-01-02 12:00:00,1
N_000531,N_000990,569.51,2023-01-02 13:00:00,0
N_001986,N_000163,112.97,2023-01-02 13:00:00,0
N_000583,N_000558,348.8,2023-01-02 13:00:00,0
M_DOR_000376,N_001998,50.0,2023-01-02 13:00:00,1
N_000027,M_REC_000529,144.2,2023-01-02 13:00:00,1
N_000099,N_001565,22.08,2023-01-02 13:00:00,0
N_001212,N_000268,2118.48,2023-01-02 13:00:00,0
M_DOR_000128,N_001985,510.24,2023-01-02 13:00:00,1
N_000028,M_REC_000422,188.48,2023-01-02 13:00:00,1
N_000825,N_001372,1796.36,2023-01-02 14:00:00,0
M_DOR_000072,N_001957,654.78,2023-01-02 14:00:00,1
M_DOR_000294,N_001965,645.88,2023-01-02 14:00:00,1
M_DOR_000497,N_001960,167.26,2023-01-02 14:00:00,1
M_DOR_000065,N_001991,1000.0,2023-01-02 14:00:00,1
N_001790,N_001856,4622.87,2023-01-02 14:00:00,0
N_000382,N_000298,5000.0,2023-01-02 14:00:00,0
N_001393,N_000030,320.49,2023-01-02 15:00:00,0
M_DOR_000253,N_001971,1000.0,2023-01-02 15:00:00,1
N_000681,N_000877,5000.0,2023-01-02 15:00:00,0
N_000339,N_001129,409.26,2023-01-02 15:00:00,0
N_000391,N_000028,579.4,2023-01-02 15:00:00,0
M_DOR_000299,N_001979,308.2,2023-01-02 15:00:00,1
N_001695,N_000483,419.16,2023-01-02 15:00:00,0
N_001044,N_000341,306.39,2023-01-02 15:00:00,0
N_000021,M_REC_000248,164.28,2023-01-02 15:00:00,1
M_DOR_000218,N_001972,241.85,2023-01-02 15:00:00,1
M_DOR_000443,N_001976,601.99,2023-01-02 16:00:00,1
N_000825,N_001505,59.97,2023-01-02 16:00:00,0
N_000434,N_001195,25.07,2023-01-02 16:00:00,0
M_DOR_000437,N_001951,86.76,2023-01-02 16:00:00,1
M_DOR_000078,N_001959,50.0,2023-01-02 16:00:00,1
N_000293,N_001642,2908.11,2023-01-02 16:00:00,0
N_000498,N_000306,193.4,2023-01-02 16:00:00,0
N_000925,N_000130,357.79,2023-01-02 16:00:00,0
N_001051,N_000618,449.33,2023-01-02 16:00:00,0
M_DOR_000146,N_001974,50.0,2023-01-02 16:00:00,1
N_000808,N_000543,4909.92,2023-01-02 16:00:00,0
M_DOR_000130,N_001991,1000.0,2023-01-02 16:00:00,1
M_DOR_000032,N_001972,605.01,2023-01-02 16:00:00,1
N_001973,N_001021,2696.47,2023-01-02 16:00:00,0
M_DOR_000169,N_001996,1000.0,2023-01-02 16:00:00,1
M_DOR_000340,N_001989,196.59,2023-01-02 17:00:00,1
N_001222,N_000473,2199.17,2023-01-02 17:00:00,0
N_000046,M_REC_000110,46.53,2023-01-02 17:00:00,1
M_DOR_000399,N_001979,128.54,2023-01-02 17:00:00,1
N_001007,N_000101,246.26,2023-01-02 17:00:00,0
N_001008,N_001257,330.45,2023-01-02 17:00:00,0
N_000999,N_000032,998.25,2023-01-02 17:00:00,0
N_001872,N_001888,172.83,2023-01-02 17:00:00,0
N_000212,N_000303,430.8,2023-01-02 17:00:00,0
N_000157,N_000989,114.6,2023-01-02 17:00:00,0
N_000873,N_000270,487.19,2023-01-02 17:00:00,0
N_001983,N_000488,822.04,2023-01-02 17:00:00,0
N_000034,M_REC_000319,95.15,2023-01-02 17:00:00,1
M_DOR_000082,N_001985,1000.0,2023-01-02 17:00:00,1
N_000028,M_REC_000331,187.37,2023-01-02 17:00:00,1
N_001813,N_000108,845.29,2023-01-02 17:00:00,0
N_001423,N_000368,4778.78,2023-01-02 17:00:00,0
N_001522,N_001616,1281.96,2023-01-02 18:00:00,0
M_DOR_000240,N_001978,1000.0,2023-01-02 18:00:00,1
N_000019,M_REC_000283,144.3,2023-01-02 18:00:00,1
N_000171,N_000311,299.93,2023-01-02 18:00:00,0
