,gnn_proba
C1003246781,1.3294516e-05
C1003247163,2.2682972e-05
C100325477,9.002893e-05
C1003266716,1.7999168e-05
C1003270144,0.003672495
C1003274115,0.0037954077
C1003280328,0.00014169898
C1003281715,0.0047397534
C1003283986,0.0035492124
C1003290875,0.0035507302
C1003328283,2.1386539e-05
C1003332756,1.41996225e-05
C1003340026,0.003021228
C1003348191,0.0035072262
C1003377863,0.9999994
C1003387276,0.003664835
C1003401312,1.2749567e-05
C1003402991,1.9262954e-05
C1003406054,0.004614035
C1003408011,1.8965618e-05
C1003419761,2.1787802e-05
C1003420542,0.000100419216
C1003422138,1.2649253e-05
C100343784,0.004583264
C1003447086,0.0049897237
C1003455507,1.220885e-05
C1003462253,2.2893095e-05
C1003491043,2.4993531e-05
C1003502238,0.003675485
C1003515547,0.006107384
C1003519132,1.314046e-05
C1003528765,1.9375653e-05
C1003529551,0.00019245216
C1003551682,0.0043687304
C1003558438,0.0025089632
C1003579141,0.0035654386
C1003580418,0.00408991
C1003582182,0.004827334
C1003594493,0.00012956768
C1003614144,5.2069117e-05
C1003619052,1.0
C1003619781,1.9439025e-05
C100362219,0.0045656697
C1003636872,0.0068966066
C10036459,1.841588e-05
C1003666393,0.0025346014
C1003668526,0.003462915
C1003687242,1.3673346e-05
C1003691408,1.9445368e-05
C1003695704,0.99999857
C1003697609,0.0040360685
C1003699713,1.358784e-05
C1003704357,0.0034633675
C1003706155,2.5953444e-05
C1003714317,1.3051253e-05
C1003733228,0.003616898
C1003741197,0.9999994
C1003741803,1.3585248e-05
C10037435,0.004409601
C1003761391,7.141295e-05
C1003769138,0.0025712273
C1003815817,1.3064227e-05
C1003836445,0.002502081
C1003871463,0.0001018254
C1003872245,0.00041083462
C1003878065,0.0035664316
C1003890990,0.0025487232
C1003909463,1.0
C1003918357,4.401403e-05
C1003927533,1.2424523e-05
C1003933722,0.005182438
C1003950275,0.002524243
C100396780,0.0036559538
C1003969989,0.0030697805
C1003988979,0.00015473591
C1004019652,0.004388691
C1004027519,0.0025173503
C1004050667,0.003485544
C1004068843,1.0
C1004094246,0.005209773
C1004101503,0.0034685028
C1004111009,1.2327684e-05
C1004116292,2.929885e-05
C1004124838,0.004376947
C1004126463,1.896448e-05
C1004132014,2.1095697e-05
C1004139651,5.429108e-05
C1004142314,2.6746724e-05
C1004143212,0.0034809557
C1004186625,0.0034641526
C1004188575,0.00389306
C1004194452,0.0037781298
C100420378,0.0044964883
C1004207626,1.2985488e-05
C1004224313,0.0025168797
C1004228507,1.8200792e-05
C1004230284,0.0025373525
C1004230388,5.3086267e-05
C1004241271,2.5028665e-05
C1004244368,0.004370815
C1004255084,4.625355e-05
C1004264317,0.0025924954
C1004270839,2.5417636e-05
C1004271827,0.9999893
C100427864,1.0
C1004287379,1.3893555e-05
C1004304970,0.0025104508
C100431989,1.0
C1004320526,0.0035633557
C1004321374,2.3801535e-05
C1004323058,0.0068299947
C1004326395,0.0034628278
C1004330633,0.00015859205
C100433159,0.002550934
C1004336210,0.99999404
C1004339825,6.2744475e-05
C1004364794,0.003452664
C1004367581,1.9522831e-05
C1004368330,0.0048077744
C1004373032,0.0034902454
C1004373502,0.003016971
C1004386624,2.4612273e-05
C1004396113,0.0035699408
C1004407054,1.8646359e-05
C1004408203,0.00010941391
C1004447094,4.6468813e-05
C1004452292,0.004109207
C1004490006,0.9954201
C1004513120,2.0703328e-05
C1004516855,0.002531994
C1004526326,8.7463195e-05
C1004541821,0.0045494037
C1004557218,0.0030335288
C1004559630,0.0025166462
C1004561957,5.903923e-05
C1004588560,0.0050079934
C1004623774,0.003695819
C1004650706,6.4316475e-05
C1004660567,0.003052996
C1004660750,0.0031084528
C1004684611,1.9324005e-05
C1004687126,2.0327367e-05
C1004712041,1.3857814e-05
C100472301,0.0030645372
C1004736073,0.0035302406
C1004772137,4.9420098e-05
C1004780164,1.9173407e-05
C1004822589,1.4512803e-05
C1004823375,1.3522636e-05
C100484892,0.003787789
C1004863456,0.0044075744
C1004885366,4.404405e-05
C1004885743,1.5769248e-05
C1004902658,0.0030292359
C1004927998,0.0025875855
C1004932637,0.0035740137
C1004950376,0.006054586
C1004951913,0.0025067087
C1004952394,0.006184778
C1004962268,1.8652725e-05
C1004965418,0.0025343637
C1004965480,0.007347378
C1004972583,0.002528487
C1004975004,0.004013902
C1004987033,9.672115e-05
C1004989665,0.0036068044
C100499067,0.0042177243
C1005004236,0.0030208246
C1005007866,0.9999989
C1005008078,0.0035476545
C100500839,1.0
C1005012898,0.0035331133
C1005017975,2.2788065e-05
C1005030765,0.0030388779
C10050628,2.0507983e-05
C1005084610,1.9016003e-05
C1005099278,0.0045560813
C1005105694,1.2492412e-05
C1005132686,0.0045587486
C1005134251,1.2395598e-05
C100513766,0.0025816432
C1005171162,0.0025077418
C1005190137,1.0
C1005222575,0.0034854377
C1005225290,0.0035959322
C1005243179,4.4797205e-05
C1005246391,0.004392263
C1005257773,2.0224286e-05
C1005272051,1.3845794e-05
C1005294338,1.422935e-05
C1005297493,0.0025676698
C1005318458,0.0026119556
C1005333753,1.2759347e-05
C1005338450,0.0046541067
C10053493,1.9117357e-05
C1005354420,0.004515773
C1005359716,0.00256109
C1005364428,0.0071068984
C1005367715,1.9059884e-05
C1005378991,5.0690134e-05
C100539132,2.5662292e-05
C1005401315,0.004420575
C100540640,0.003464961
C1005429234,2.0703506e-05
C1005458940,0.99999905
C1005460442,0.97435284
C1005463573,1.3835762e-05
C1005492942,0.0009765103
C1005510899,0.003472835
C1005511036,0.0045027216
C1005513694,0.0040448643
C1005524758,9.018857e-05
C1005528366,1.896741e-05
C1005551980,1.2811997e-05
C100555296,0.0030615448
C100555887,2.1079024e-05
C1005560143,0.004910928
C1005564885,1.6800945e-05
C1005571326,0.0036280025
C1005571363,0.0040135137
C1005577959,0.0045303735
C1005590566,0.0054526874
C100561226,2.3468181e-05
C1005617064,1.2764982e-05
C1005629374,0.0035690197
C100563299,2.2508235e-05
C1005641337,0.000120239616
C1005647150,0.003079352
C1005651056,0.0025139493
C1005657942,1.2633363e-05
C1005665541,2.873993e-05
C1005666434,0.0053590974
C1005668367,2.2963217e-05
C100568242,7.5039534e-05
C1005714733,0.9999212
C1005726924,1.0
C1005728481,4.8896658e-05
C1005734156,1.429473e-05
C1005736508,1.9235935e-05
C1005755165,1.2843044e-05
C100581945,1.8021117e-05
C1005819831,8.319711e-05
C10058268,0.00011776604
C100584291,0.0035423639
C1005846496,0.0061347163
C100584956,0.0048024408
C1005856130,5.4058033e-05
C1005860337,0.0045816866
C1005866728,0.9999988
C1005876254,1.2212238e-05
C1005878352,0.004144084
C1005880024,0.003504614
C1005894598,1.2354811e-05
C1005904410,0.0035772654
C100592036,2.4437935e-05
C1005922446,0.002591768
C100592338,1.2313736e-05
C1005928818,3.5208308e-05
C1005933531,0.0025607331
C1005941472,1.8769282e-05
C1005953365,0.003517761
C1005962323,0.005879995
C1005975227,0.0035052323
C1005988960,0.00024944742
C1006000352,0.0034542654
C1006005732,2.5409081e-05
C1006006679,0.0025040265
C1006007773,1.6601365e-05
C1006011284,1.2350805e-05
C1006019868,6.6939e-05
C1006023490,0.00063555274
C1006034182,0.0025451414
C1006051057,4.547777e-05
C1006054858,0.0035552785
C1006058561,0.99999905
C1006064207,0.0035432207
C1006070662,0.9999989
C1006077876,0.0034850414
C100607999,0.00017366862
C1006086837,0.005251129
C1006094903,2.7768248e-05
C1006095313,0.0034947812
C1006103838,0.0030287823
C1006104964,0.9851007
C1006106359,2.54794e-05
C1006106702,0.003524259
C1006122933,0.0035800454
C1006124401,0.003615517
C1006131638,0.00012968907
C1006153055,0.0025379548
C1006171212,0.0035682211
C1006175937,0.0045379167
C1006182805,1.2219064e-05
C1006195386,0.0025040563
C1006225340,1.5085206e-05
C1006227535,0.002533913
C100623112,0.0031166747
C1006231907,0.004806004
C1006234026,0.0035827989
C1006236909,0.003023402
C1006237908,2.4762498e-05
C100624184,1.303313e-05
C1006256883,1.2774311e-05
C1006256914,4.9390703e-05
C1006257831,2.1391925e-05
C1006268236,0.0036268304
C1006282753,5.539994e-05
C1006289983,0.00353875
C1006310562,0.0002197165
C1006323448,0.0030552375
C1006333430,0.0030574067
C1006360472,0.0034793713
C1006364214,0.00352798
C1006387259,2.5913108e-05
C1006395479,0.0025754843
C1006401921,1.0
C1006410634,4.4324417e-05
C1006418695,0.0034695182
C1006421214,0.0025539438
C1006421432,0.00498744
C1006437136,0.003480089
C100644406,0.0030995982
C100645440,0.0034951877
C1006459134,1.0
C1006461684,0.005543573
C1006464744,1.0
C1006472695,0.0025071166
C1006473056,0.0024865747
C1006489136,0.0035382758
C10064934,2.2282236e-05
C1006493866,4.689386e-05
C100653672,0.0035905798
C1006537711,0.0025225158
C1006556491,2.0967494e-05
C1006598639,1.8190416e-05
C1006605786,4.7552414e-05
C1006607326,1.9097968e-05
C10066249,1.9822626e-05
C1006627934,0.0026100683
C1006634957,0.0025343637
C1006642529,7.322558e-05
C1006650304,0.0025054526
C1006655961,0.0025785314
C1006668962,1.0
C1006672744,0.0034462905
C100667399,0.0030626159
C1006677281,1.3593569e-05
C1006681665,0.0035513886
C1006685287,0.0025238767
C1006717344,0.0025149288
C1006723067,0.0036158192
C1006732709,0.0001098045
C1006742950,0.0034716672
C1006752517,0.0035812196
C1006759468,0.002511037
C1006776656,0.0036915059
C1006805273,1.33128115e-05
C1006840160,2.1526272e-05
C1006851542,0.0035324523
C1006855100,0.0044617075
C1006860227,0.0062053287
C1006861422,0.0044690864
C1006868041,0.005830027
C1006869759,0.003526542
C1006878093,0.003682443
C1006892110,1.2366599e-05
C100690803,0.0026158341
C100691765,1.0
C1006924343,0.003456679
C1006926522,1.0
C100694203,1.24885755e-05
C1006972221,0.0034848547
C1006972813,5.5194025e-05
C1006975383,0.0035761727
C100699723,1.900172e-05
C1007006357,0.0035270748
C1007011888,0.0025618149
C1007020319,0.0041256044
C1007032757,1.0
C1007033941,0.0034579078
C1007064009,0.0024843367
C1007065552,0.0040772897
C1007075260,0.0046040667
C100711549,1.9485e-05
C1007137147,1.3169227e-05
C1007143049,0.0034844028
C1007144380,0.0048064557
C1007149123,0.0055239764
C1007153130,2.1613305e-05
C100716043,0.0024951466
C1007165392,1.8322997e-05
C1007168652,1.2359737e-05
C1007190943,1.2940279e-05
C1007207376,0.9999993
C1007247207,0.0030598803
C1007251739,1.0
C1007260688,0.0035749734
C100726434,0.0045170086
C1007269466,0.0046194196
C1007271244,0.0035325293
C1007286597,2.572151e-05
C1007293242,0.0049015293
C1007303584,1.8978284e-05
C1007328896,0.004532219
C1007340530,0.9999927
C1007341649,0.0025404587
C1007348267,1.4285122e-05
C1007351420,0.000112335074
C1007357500,2.0376181e-05
C1007359685,8.9626585e-05
C1007392017,1.3208179e-05
C1007395012,0.004485426
C1007461937,0.0025529324
C1007471567,0.0051032547
C1007479593,0.0035040728
C1007482835,1.4900009e-05
C1007482939,0.0005503409
C1007483176,0.0038424747
C1007483763,0.005677029
C1007502617,0.9999764
C1007531595,1.8963738e-05
C1007532305,0.0025750152
C1007546049,0.003737218
C1007563181,0.0001779634
C1007566230,4.7273123e-05
C1007575840,0.00025361514
C1007577596,0.0061434815
C1007589339,1.3198571e-05
C1007594531,0.0041648103
C1007595772,2.1385478e-05
C1007610025,0.0034713256
C1007610336,1.249141e-05
C100763177,0.004535593
C1007649094,0.0034792125
C1007655980,1.3816432e-05
C1007661780,9.852981e-05
C1007670557,0.004391655
C100767065,0.0035140302
C1007675557,0.005578481
C1007712709,0.002506981
C1007714612,0.007917076
C1007717381,3.806258e-05
C1007732462,0.006809011
C1007743787,0.0035552362
C100775108,0.00014748816
C1007757962,1.28660795e-05
C1007760556,1.31672805e-05
C1007777035,0.002489009
C1007789591,0.0036879545
C1007799922,1.0
C1007825638,2.1497777e-05
C1007839015,0.0030906673
C1007848896,1.4056308e-05
C1007875354,0.0053420137
C1007876221,8.906258e-05
C1007876661,0.0034761187
C1007887215,0.004639492
C1007890238,0.002516056
C1007906569,1.22524025e-05
C10079180,0.0040760357
C1007919598,0.0008754272
C1007932316,0.0025224295
C1007933375,0.0053466302
C1007953579,0.002536086
C1007977924,0.0035158775
C100798172,0.0030411498
C1007991652,0.0025278472
C1007994570,0.003768433
C1008012451,5.8695117e-05
C1008013985,0.0040818607
C1008017165,0.002504449
C1008019032,0.0030289635
C1008038842,0.0040580328
C1008040846,0.9999937
C1008058729,0.004565847
C1008060588,1.8575825e-05
C1008062957,0.0026335586
C1008077418,0.0045189406
C1008087026,0.0048845755
C1008087477,0.0044624447
C1008091988,0.0045188917
C100809743,0.0036115923
C1008113516,0.0045820936
C1008116068,9.556679e-05
C1008125153,0.0025596933
C1008131550,1.0
C1008141615,1.0
C100814355,0.0041390755
C1008145132,0.003525443
C1008156074,0.0052645365
C1008160908,0.0024956428
C1008164943,0.0055838428
C1008167225,1.865301e-05
C1008197249,4.487096e-05
C1008204900,0.0035476154
C1008205282,5.066278e-05
C1008212916,4.3565746e-05
C1008238288,0.004531113
C1008256354,1.2837827e-05
C1008265986,0.00345593
C1008268734,1.26354e-05
C1008300254,3.1693166e-05
C1008303790,0.0056272005
C1008311130,1.855994e-05
C1008318564,0.0025863773
C1008331222,0.003541852
C1008338219,1.2659813e-05
C1008365623,0.0041070483
C1008367203,0.0037586603
C100836936,2.9006938e-05
C1008384069,1.3168498e-05
C1008387036,0.00404273
C1008394355,1.3234304e-05
C1008395607,0.0030211045
C1008398877,4.7297566e-05
C1008406291,1.5201127e-05
C1008410056,0.003122228
C1008434102,0.003036299
C1008442816,0.0025098396
C1008461389,1.4333157e-05
C1008463538,0.00024717464
C1008476766,4.4704644e-05
C1008480856,1.8388046e-05
C100848196,1.8717086e-05
C1008486098,0.0005676751
C1008500587,0.0025399837
C100852659,0.0035683196
C1008529803,0.0037971316
C1008550256,0.0034635845
C1008568065,0.004502409
C1008587490,2.141611e-05
C1008595177,2.3220602e-05
C1008601397,2.2482258e-05
C1008607814,0.002502656
C1008612162,1.24857415e-05
C1008636035,1.3331691e-05
C100863867,0.0034790307
C1008669030,0.0025551917
C1008683779,0.003031727
C1008691284,2.009419e-05
C1008695546,0.004773036
C1008710718,1.321594e-05
C1008715117,4.452437e-05
C1008717640,0.0034971833
C1008719694,0.9999994
C1008725755,1.8311537e-05
C1008733302,4.671532e-05
C1008734029,0.0025196737
C1008739923,1.8203238e-05
C1008743426,2.0956539e-05
C1008748210,0.004536369
C1008757182,0.0030265914
C1008757447,0.0034846524
C1008760885,1.9726245e-05
C1008765070,0.0046125622
C1008771870,0.0054726624
C1008810583,1.8542938e-05
C1008812068,0.0024951096
C1008827852,0.0045635113
C1008828367,0.0035588697
C1008828727,1.8458217e-05
C100886246,2.7570455e-05
C1008866150,1.8036077e-05
C1008877031,2.0130827e-05
C1008892859,0.005241225
C100889693,1.33306985e-05
C1008900270,0.004710601
C1008900872,5.9642804e-05
C1008922663,0.0025482397
C1008935584,1.9486766e-05
C1008945715,0.002556525
C1008947638,0.010142378
C1008962141,2.1279911e-05
C1008975106,0.005921844
C1008976301,1.324453e-05
C100900622,1.2455297e-05
C100901367,2.732725e-05
C100901708,0.0036755635
C1009020136,0.006190103
C1009030300,2.3011247e-05
C1009032350,0.9999995
C1009036787,0.9998752
C1009057063,0.0025546192
C1009058276,2.4907136e-05
C1009077952,0.0030451687
C1009091602,1.8246777e-05
C1009107063,0.0035854743
C1009107864,0.0024963503
C1009108667,0.0025931562
C1009148404,0.0049438113
C1009157340,9.304064e-05
C1009157509,4.3898042e-05
C100915781,0.005335932
C1009166464,2.0442416e-05
C1009182926,1.8760047e-05
C1009195400,1.4419434e-05
C1009204257,5.200863e-05
C1009205632,0.004384568
C1009215230,2.0203912e-05
C100921839,2.0889556e-05
C1009226940,5.051853e-05
C1009233877,0.9999931
C100924902,0.00016523364
C1009253292,0.0045300485
C100926128,0.0030776423
C1009280520,1.9489646e-05
C1009297092,1.45171225e-05
C1009302605,1.3259545e-05
C1009315000,0.0036379513
C1009324520,0.0024952367
C1009332127,1.8973524e-05
C1009344915,0.0025160415
C10093560,0.0034817245
C100937342,0.0038093298
C1009384074,0.0056198766
C1009406898,2.515424e-05
C1009424082,0.00036061186
C1009438913,0.002542668
C1009459055,1.0
C1009467888,0.0036543668
C1009482000,0.005074097
C1009514028,2.1465165e-05
C1009537081,4.465828e-05
C1009545186,1.0
C1009562778,4.985093e-05
C1009564356,0.99876046
C1009574362,1.2181449e-05
C1009580268,1.4050357e-05
C1009580744,0.0046397364
C1009590720,1.9136834e-05
C1009617042,0.0025959823
C1009627948,4.6055706e-05
C1009631303,1.2989996e-05
C1009631708,5.1183164e-05
C1009651437,0.0054807714
C1009674371,0.003647068
C1009679725,1.0
C1009681241,0.0057204366
C1009683919,0.00034312333
C1009685695,0.00016807867
C1009688353,1.9168929e-05
C1009693101,1.8446603e-05
C1009693907,0.004633068
C1009738793,0.0034713438
C1009743323,4.0580915e-05
C1009747499,1.0
C1009755221,0.006145797
C100978790,0.0035538513
C1009790900,1.814132e-05
C1009791419,1.0
C1009807032,0.004854931
C1009808086,1.4189321e-05
C1009808136,5.244186e-05
C1009815978,1.9275321e-05
C1009818004,1.9413443e-05
C1009818826,0.00253711
C100983688,4.4947235e-05
C1009858992,1.2457446e-05
C1009868160,0.002504561
C100988138,0.0024957175
C1009893576,5.322374e-05
C1009901500,1.0
C1009906459,1.0
C1009919539,0.0035121776
C1009920756,3.2182357e-05
C1009935859,4.5703415e-05
C1009943998,0.004102662
C1009947118,0.0025666873
C100995003,0.0031190314
C1009955319,0.0048339707
C1009963329,0.002558356
C100997472,0.0031269542
C100999721,0.0035973436
C1010002968,0.0015813976
C101003270,0.0045981677
C1010063091,0.9999987
C101006342,0.008604933
C1010068445,0.99989474
C1010073398,0.0036799875
C1010094512,0.00349713
C1010108788,1.9317316e-05
C1010117007,0.0034861367
C1010126965,1.2735471e-05
C1010131302,0.0043889657
C1010137648,0.0035063578
C1010140613,0.0034848761
C1010170848,0.0025510448
C1010180646,1.3141614e-05
C1010199059,0.0034956418
C1010212827,0.0054568513
C1010220562,0.0025332514
C1010235225,1.3215764e-05
C101023705,0.0034465985
C1010237616,0.004445779
C1010241206,0.0035027312
C1010257877,0.004634542
C1010259260,0.0025329418
C1010260334,0.00714264
C1010284640,0.0034567514
C1010290634,0.0045282575
C1010294446,0.008227945
C1010297159,1.3047631e-05
C1010299804,0.0025562395
C1010306008,0.00029863842
C1010310597,0.003596272
C1010312961,0.003569337
C101033800,0.0025248514
C1010343137,0.0050315736
C1010364515,2.671277e-05
C1010370571,1.0
C1010374419,0.0030714865
C1010377556,0.0036769887
C1010381847,2.0566386e-05
C1010382703,1.3032136e-05
C1010390776,2.161846e-05
C1010390879,0.0024923661
C1010401833,0.0025550604
C1010415287,0.004110084
C1010419513,0.00500321
